team,elo
Spain,2327.0
Argentina,2249.7
England,2198.7
France,2140.8
Colombia,2086.7
Brazil,2077.0
Portugal,2060.2
Netherlands,2045.4
Morocco,2029.4
Belgium,2027.2
Norway,2021.0
Mexico,2013.9
Switzerland,2003.4
Germany,1989.3
Japan,1973.1
Ecuador,1964.2
Croatia,1946.8
Italy,1928.7
Denmark,1928.6
Uruguay,1924.7
Turkey,1923.0
Australia,1908.0
Paraguay,1900.9
Austria,1889.1
Iran,1886.3
Nigeria,1882.3
Senegal,1880.2
Yugoslavia,1873.0
Egypt,1858.1
Algeria,1857.2
Ivory Coast,1843.2
Canada,1842.7
South Korea,1841.9
Ukraine,1841.8
Russia,1840.5
United States,1840.0
Venezuela,1823.8
Scotland,1821.5
DR Congo,1810.1
Jersey,1805.3
Czechoslovakia,1804.7
Chile,1804.3
Greece,1803.0
Serbia,1801.8
Basque Country,1799.3
Sweden,1799.0
Panama,1774.7
Peru,1772.0
Kosovo,1771.7
Poland,1771.2
Hungary,1767.7
Republic of Ireland,1760.9
Czech Republic,1755.2
Guernsey,1745.6
Costa Rica,1745.1
Wales,1743.1
Slovenia,1738.3
German DR,1732.0
Uzbekistan,1731.5
Slovakia,1725.0
Cameroon,1724.2
Jordan,1720.2
Bolivia,1717.3
Honduras,1710.9
Georgia,1710.6
Isle of Man,1709.1
Mali,1708.1
Saudi Arabia,1706.0
Israel,1700.8
Romania,1700.6
Cape Verde,1698.8
South Africa,1694.5
Northern Cyprus,1689.4
Occitania,1686.8
New Zealand,1686.3
Padania,1686.2
Ghana,1682.0
Bosnia and Herzegovina,1675.9
Iraq,1674.5
Albania,1673.7
Haiti,1666.2
United Arab Emirates,1665.3
Northern Ireland,1662.4
Tunisia,1661.1
Isle of Wight,1660.3
Jamaica,1658.1
Catalonia,1655.2
Burkina Faso,1651.7
North Macedonia,1649.4
Guatemala,1647.3
Iraqi Kurdistan,1645.3
Ynys Môn,1639.7
Iceland,1629.5
Abkhazia,1628.2
Kárpátalja,1606.8
Finland,1599.7
Curaçao,1599.1
Syria,1599.0
Kernow,1595.6
Andalusia,1592.6
Rhodes,1591.7
County of Nice,1591.0
Suriname,1590.5
New Caledonia,1590.4
Angola,1588.9
Palestine,1588.2
Tamil Eelam,1586.8
Panjab,1585.7
Belarus,1584.8
Réunion,1581.2
Guinea,1577.4
Oman,1573.9
Ellan Vannin,1569.8
Kurdistan,1567.3
Menorca,1566.1
Artsakh,1557.3
Corsica,1555.8
Chameria,1553.9
Yorkshire,1553.3
China,1552.8
Zambia,1550.2
Arameans Suryoye,1546.3
Quebec,1546.2
Cascadia,1545.3
Qatar,1542.8
Bahrain,1541.2
Benin,1539.2
Gambia,1538.9
Trinidad and Tobago,1537.1
Bulgaria,1535.5
Zanzibar,1534.1
Thailand,1533.1
Libya,1530.5
Maule Sur,1528.3
Galicia,1527.7
Gabon,1521.6
Asturias,1520.5
Western Armenia,1518.6
Guadeloupe,1517.8
Montenegro,1517.7
Surrey,1516.2
Canary Islands,1515.1
Biafra,1514.7
Elba Island,1514.3
Parishes of Jersey,1513.9
Uganda,1512.9
Donetsk PR,1511.8
Madagascar,1510.0
Mapuche,1508.5
Felvidék,1507.5
Silesia,1507.0
Kazakhstan,1506.8
Tahiti,1505.7
Crimea,1504.8
Brittany,1504.3
Indonesia,1503.8
Nicaragua,1503.3
Shetland,1503.2
United Koreans in Japan,1501.1
Délvidék,1500.2
Niger,1498.4
Togo,1495.6
Central Spain,1495.3
Saugeais,1494.7
Székely Land,1494.7
Mozambique,1494.3
El Salvador,1493.7
North Korea,1493.4
Cilento,1490.6
Guyana,1490.1
Madrid,1489.5
Luhansk PR,1489.2
North Vietnam,1487.8
Sápmi,1487.2
Seborga,1486.4
Comoros,1485.9
Sealand,1483.9
Yoruba Nation,1483.5
Matabeleland,1482.1
Malaysia,1481.8
Republic of St. Pauli,1480.8
Franconia,1478.2
Martinique,1478.0
Somaliland,1477.7
South Ossetia,1475.6
Zimbabwe,1475.5
Sudan,1475.1
Kuwait,1475.0
Ryūkyū,1474.4
West Papua,1474.3
Dominican Republic,1474.2
Åland Islands,1473.4
Kenya,1471.1
Sierra Leone,1470.4
Gozo,1469.3
South Yemen,1468.9
Vietnam,1468.6
Greenland,1465.2
Romani people,1463.8
Aymara,1463.2
Hmong,1461.1
Provence,1460.2
Luxembourg,1459.7
Kabylia,1455.8
East Turkestan,1455.2
Mayotte,1454.9
Kyrgyzstan,1452.7
Monaco,1452.1
Chechnya,1451.3
Rwanda,1447.7
Saarland,1446.8
Mauritania,1444.5
Equatorial Guinea,1444.2
Gotland,1443.8
Papua New Guinea,1442.8
Faroe Islands,1442.1
Lebanon,1442.1
Malawi,1437.6
Tajikistan,1437.6
Liberia,1437.1
Western Isles,1436.1
Manchukuo,1430.4
Găgăuzia,1429.5
Vanuatu,1429.4
Armenia,1428.8
Niue,1425.8
Estonia,1424.1
Namibia,1423.3
Palau,1420.8
French Guiana,1419.8
Lesotho,1418.2
Tanzania,1417.2
Marshall Islands,1416.9
Cuba,1412.6
Saint Barthélemy,1412.3
Vatican City,1411.2
Ticino,1409.7
Fiji,1408.4
Raetia,1408.3
Two Sicilies,1404.9
Western Sahara,1400.2
Orkney,1397.3
Western Australia,1395.4
Ambazonia,1392.2
Ethiopia,1391.9
Azerbaijan,1391.3
Turkmenistan,1387.0
Botswana,1387.0
Burundi,1386.9
Cyprus,1371.0
Central African Republic,1361.5
Guinea-Bissau,1360.8
Chagos Islands,1359.5
Barawa,1358.4
Yemen DPR,1355.2
Puerto Rico,1352.1
Saint Vincent and the Grenadines,1351.4
Malta,1350.2
Saint Helena,1348.6
Solomon Islands,1348.5
Vietnam Republic,1347.2
Hitra,1343.5
Saare County,1340.8
Philippines,1340.1
Bermuda,1335.3
Lithuania,1334.2
Latvia,1331.5
Congo,1329.3
Sark,1327.7
Moldova,1323.4
Micronesia,1320.5
Eswatini,1315.9
Hong Kong,1310.8
Saint Martin,1309.0
Yemen,1306.8
Sint Maarten,1296.1
Singapore,1293.9
Wallis Islands and Futuna,1291.5
Saint Pierre and Miquelon,1287.2
Belize,1285.5
Grenada,1285.5
Darfur,1274.8
South Sudan,1270.1
Tibet,1267.1
Saint Kitts and Nevis,1261.4
Chad,1246.0
India,1237.1
Montserrat,1228.0
Kiribati,1224.7
Samoa,1216.1
Falkland Islands,1214.4
Saint Lucia,1214.1
Mauritius,1207.7
Tuvalu,1207.1
Aruba,1205.8
Eritrea,1196.5
Frøya,1194.3
São Tomé and Príncipe,1181.0
Afghanistan,1173.0
Dominica,1162.0
Andorra,1143.5
Gibraltar,1136.6
Myanmar,1135.7
Bangladesh,1132.1
Cook Islands,1130.7
Pakistan,1121.0
Barbados,1120.5
Bonaire,1114.4
Nepal,1103.3
Antigua and Barbuda,1102.0
Cambodia,1077.1
Alderney,1077.0
Djibouti,1074.9
Somalia,1060.2
Taiwan,1058.7
Tonga,1056.3
Cayman Islands,1028.1
British Virgin Islands,1020.7
Sri Lanka,1011.5
Seychelles,1010.5
Maldives,997.4
Mongolia,981.3
Guam,975.0
Liechtenstein,974.8
Turks and Caicos Islands,974.4
Northern Mariana Islands,967.9
United States Virgin Islands,963.1
Bahamas,943.1
Laos,938.6
American Samoa,921.6
San Marino,908.5
Timor-Leste,904.7
Brunei,890.7
Anguilla,890.2
Bhutan,860.1
Macau,839.0
